Date,"Time, ADT",TempC(-30cm),TempC(-250cm),"Water Level, m"
5/5/2012,2:00:00,0.135,2.41,2.663
5/5/2012,3:00:00,0.135,2.41,2.664
5/5/2012,4:00:00,0.135,2.41,2.663
5/5/2012,5:00:00,0.135,2.41,2.663
5/5/2012,6:00:00,0.135,2.41,2.664
5/5/2012,7:00:00,0.135,2.41,2.665
5/5/2012,8:00:00,0.135,2.41,2.666
5/5/2012,9:00:00,0.135,2.41,2.668
5/5/2012,10:00:00,0.135,2.41,2.669
5/5/2012,11:00:00,0.135,2.41,2.669
5/5/2012,12:00:00,0.135,2.41,2.672
5/5/2012,13:00:00,0.135,2.41,2.667
5/5/2012,14:00:00,0.135,2.41,2.668
5/5/2012,15:00:00,0.135,2.41,2.667
5/5/2012,16:00:00,0.135,2.41,2.67
5/5/2012,17:00:00,0.135,2.41,2.669
5/5/2012,18:00:00,0.135,2.41,2.668
5/5/2012,19:00:00,0.135,2.41,2.669
5/5/2012,20:00:00,0.135,2.41,2.668
5/5/2012,21:00:00,0.135,2.41,2.667
5/5/2012,22:00:00,0.135,2.41,2.669
5/5/2012,23:00:00,0.135,2.41,2.666
5/6/2012,0:00:00,0.135,2.41,2.666
